"subject","Motivation","Amotivation","Grades","sd"
"biology",48.72,17.05,46.45,11.56
"chemistry",23.08,30.68,46.5,10.68
"english",39.74,14.77,46.58,12.97
"entrepreneurship",8.97,9.09,47.73,10.79
"french",5.13,15.91,50.83,11.13
"geography",28.21,25,46.36,11.42
"history",23.08,14.77,42.23,12.67
"ict",10.26,10.23,66.79,12.62
"kinyarwanda",47.44,17.05,53.14,11.56
"kiswahili",10.26,9.09,51.91,12.47
"literature",7.69,7.95,56.68,12.08
"mathematics",32.05,34.09,43.82,13.44
"physics",24.36,35.23,51.71,11.5
"religion",5.13,7.95,66.6,14.08
"sports",8.97,1.14,81.9,15.26
